App Name,Rating (Google),Combined Rating,Total Ratings (Google),Total Ratings (All),Review Count (Dataset),Average Review Rating,Google Installs,Genre,Platform
Complete English grammar Book,4.85,4.85,2259,2259,1,5.0,500000,Education,Google Only
Wlingua - Learn German,4.82,4.82,9311,9311,4,4.0,100000,Education,Google Only
Simpler: English learning app,4.82,4.82,723285,723285,5,3.0,10000000,Education,Google Only
EWA: Learn English & Spanish,4.81,4.81,920077,920077,46,4.11,10000000,Education,Google Only
Learn German for beginners,4.8,4.8,47688,47688,95,4.51,1000000,Education,Google Only
Mango Languages Learning,4.8,4.8,22511,22511,12,3.5,1000000,Education,Google Only
ConjuGato: Learn Spanish Verbs,4.8,4.8,3119,3119,19,4.79,100000,Education,Google Only
AnkiDroid Flashcards,4.79,4.79,149890,149890,100,4.39,10000000,Education,Google Only
Wlingua - Learn Spanish,4.78,4.78,80652,80652,100,4.5,1000000,Education,Google Only
Wlingua - Learn French,4.78,4.78,13624,13624,5,4.6,500000,Education,Google Only
