Metric,Value
Period,"From Oct 27, 2025 onwards (74 reviews)"
Total Reviews,74
Average Rating,3.7
Positive Sentiment,0 (0.0%)
Negative Sentiment,0 (0.0%)
Neutral Sentiment,0 (0.0%)
,
Complaint Themes,Count
Ads,13 (17.6%)
Energy System,4 (5.4%)
Monetization,2 (2.7%)
Technical,2 (2.7%)
Ai Content,0 (0.0%)
Removed Features,0 (0.0%)
Billing,0 (0.0%)
Other,0 (0.0%)
,
User Personas,Count
Free Learner,57 (77.0%)
Paid Power User,14 (18.9%)
Streak Keeper,2 (2.7%)
Casual Learner,1 (1.4%)
Family User,0 (0.0%)
Serious Learner,0 (0.0%)
,
Feature Requests,Count
Speaking Practice,1 (1.4%)
Grammar Explanations,0 (0.0%)
Offline Mode,0 (0.0%)
Dark Mode,0 (0.0%)
Human Voices,0 (0.0%)
Web Version,0 (0.0%)
Advanced Lessons,0 (0.0%)
Streaming Access,0 (0.0%)
