source,author,content,language,polarity,sentiment,keyword_sentiment,keyword_score,categories,cluster
apple,Eline Sofia,"Duo helpt me erg goed met leren en ik vind het fijn dat je meerdere lessen kan volgen en dat het gratis is voor niks noppes nada 😂
Iniedergeval een leuke app met leuke lessen 
Gr duckiefan 🫡",nl,0.0,neutral,positive,4,"['pricing', 'learning_effectiveness', 'lessons_content', 'user_experience', 'gamification']",2
apple,bl17827,Kan alleen pools in het engels leren niet nederlands pools 😴,nl,0.0,neutral,negative,-1,"['language_availability', 'learning_effectiveness']",4
apple,DuoLingO—0,Batterij te snel op en heel langzaam uploaden echt heel slecht,nl,0.0,neutral,negative,-2,"['battery_issues', 'app_performance']",4
apple,Layanah2009,Hele leuke app ik heb het maar een dag en 2 dagen en kan al heel goed Japans,nl,0.0,neutral,positive,2,"['language_availability', 'learning_effectiveness', 'user_experience']",2
apple,De beste duo,Op duolingo leer je heel snel en duo helpt je en herhaald je foute dus dauwload het nu snel het is hele goede hulp.,nl,0.0,neutral,positive,2,"['learning_effectiveness', 'gamification']",4
apple,Nattetak,Cannot hear half of what they are saying further in the courses,en,-0.08333333333333333,neutral,neutral,0,['general'],3
apple,Mai hooglugt,"1 minpuntje , het is jammer dat bij de Duitse cursus niet goed genoeg uitleg is voor de naamgroepen . meest belangrijke onderdeel in de Duitse taal. ook de Der-Die-Das, wat eigenlijk de basis is wordt niet aangepakt.",nl,0.0,neutral,negative,-1,"['language_availability', 'learning_effectiveness']",4
apple,Kaasisboos,Het zijn echt heel veel reclames en een abonnement is duur maar voor de rest een top app,nl,0.5,positive,neutral,0,"['pricing', 'user_experience']",2
apple,Robbiebor,Werkt erg goed,nl,0.0,neutral,positive,1,['learning_effectiveness'],4
apple,A.Habawal,Good app,en,0.7,positive,neutral,0,['user_experience'],2
apple,Tayas0604,Leerzaam en leuk dus ik raad het echt aan het is geweldig ook voor kinderen is het makkelijker te begrijpen,nl,0.0,neutral,positive,2,"['learning_effectiveness', 'user_experience']",1
apple,S.schutingbuurt,Alles kan je doen,nl,0.0,neutral,neutral,0,['lessons_content'],4
apple,GojiZoro,Why did they add the energy thing without it I would give 5 stars.,en,0.0,neutral,neutral,0,['general'],3
apple,Lyam1234,"Ik doe nu Frans en ik ben er echt al goed in en ik kan ook al goed Frans en het helpt me echt merci, au revoir",nl,0.0,neutral,positive,2,"['language_availability', 'learning_effectiveness']",0
apple,Juukko,Super! Duolingo je lessen zijn super interessant en leuk,fr,0.375,positive,positive,2,"['lessons_content', 'user_experience', 'gamification']",1
apple,VannelopevonSchweets,"Ik kan heel goed leren met deze app, en het is goed op niveau. Ik vind alleen het energiebalkje een klein beetje irritant, maar als je wat goede antwoorden op rij hebt, krijg je weer wat meer energie. Ook heel fijn dat ze rekening houden met je niveau bij de taal die je leert; en je kan ook muziek en wiskunde leren, dat is ook handig.",nl,0.0,neutral,positive,2,"['battery_issues', 'language_availability', 'learning_effectiveness', 'user_experience']",4
apple,Nickel_123,Duolingo leert mijn goed ik heb Japans echt snel geleerd om dus echt veel anime te gaan kijken Dankje ik vind duo echt heel leuk,nl,0.0,neutral,positive,2,"['language_availability', 'learning_effectiveness', 'user_experience', 'gamification']",0
apple,Julius Caesar 2.0,Ik ben echt super slecht maar ik leer steeds meer. Ik geloofde de app Als eerst niet maar het is echt geweldig. Het is zeker een aanrader,nl,0.3333333333333333,positive,neutral,0,['user_experience'],0
apple,Sddahh,Eerst nog wel leerzaam. Nu alleen leerzaam als je ervoor betaald. De hartjes waren leuker.,nl,0.0,neutral,positive,1,"['language_availability', 'pricing', 'learning_effectiveness', 'user_experience']",1
apple,Louisepoesje99doggolover,Super helpend en motiverend dit was m’n tweede les en ik kende ze allemaal nog,af,0.3333333333333333,positive,positive,2,"['learning_effectiveness', 'lessons_content']",0
apple,K weet niks,Het is zooooo leuk het helpt je echt heel erg om een nieuwe taal te leren dus als je een nieuwe taal wilt leren dan moet je DUOLINGO DOWNLOADEN!!!!!,nl,0.0,neutral,positive,2,"['language_availability', 'learning_effectiveness', 'user_experience', 'gamification']",4
apple,:) L :) Lana :),Ik heb er echt heel veel van geleerd en weet nu bijna alles wat er in de Spaans les word gevraagd,nl,0.0,neutral,neutral,0,"['language_availability', 'lessons_content']",0
apple,drinkt geen code nog wee,De kinderen eten pasta de pasta eten het eten het eten de eten de kinderen de kinderen de kinderen de kinderen de eten het eten de eten de eten de kinderen de kinderen de kinderen de kinderen de eten het brood niet het kind eet brood het brood niet eten de brood het kind het kind,nl,0.6,positive,negative,-1,['general'],4
apple,Winterdeathyt,Alleen jammer er is geen Arabisch,nl,0.0,neutral,negative,-2,['general'],4
apple,Julia paardenmeisje,"Dit is de beste app om te leren wat je maar wilt
Allen het is jammer als je energie op is want dan kan je geniet meer spelen maar het gaat niet zo snel op",nl,0.0,neutral,negative,-2,"['battery_issues', 'learning_effectiveness', 'user_experience']",4
apple,Cahitgul,Süper daha iyisi yok,tr,0.0,neutral,neutral,0,['general'],4
apple,Facenone,Bring back the hearts,en,0.0,neutral,neutral,0,['general'],3
apple,Superman1777,"Ik ben al meer dan een jaar een betalende klant(familie abonnement). Sinds kort is er een wijziging geweest in hun beleid.een zeer negatieve wijziging.eerst kon je met behaalde lessen streak freeze verdienen.je kreeg die als beloning voor het voltooien van een les, maar nu kan dat dus niet meer.Ze dwingen je om streak freeze te kopen maar ik betaal al het maximale.ik ben dus een streak kwijtgeraakt van 562 dagen en dit omdat ik 1 dag geen les gedaan had.ik kon hem afkopen maar dat wil ik niet. Voorheen had je altijd de mogelijkheid om hem terug te verdienen door 6 lessen te volgen. Dit bieden ze niet meer aan. ZE WORDEN HEBBERIG!!
Ik ga opzoek voor mijn familie naar een andere taal app",nl,0.0,neutral,negative,-2,"['language_availability', 'pricing', 'lessons_content', 'user_experience', 'gamification']",0
apple,Highlikeahelicopter,Gebruik al jaren deze app met veel plezier. Sinds kort draait deze app steeds meer om geld verdienen. Steeds meer pop-ups die niet kan verdienen door te leren maar alleen maar kan betalen met echt geld. Echter wel goede app. Want je leert echt iets. Ook jammer dat vooral Europese en Aziatische talen worden ontwikkeld. Nog steeds geen spraakfunctie in Afrikaanse en maar 2 Afrikaanse talen.,nl,0.0,neutral,negative,-2,"['language_availability', 'pricing', 'learning_effectiveness', 'user_experience']",2
apple,Zoë692,Na de nieuwe update waarbij je energie bij elke opdracht naar beneden gaat maakt het lastig duolingo vrijblijvend te oefenen. Voorheen koste het je alleen als je een fout maakt. Nu wordt je half gedwongen premium te nemen…,nl,-0.16666666666666666,negative,neutral,0,"['battery_issues', 'pricing', 'gamification']",4
apple,Kuip66h666y,Ik leer Engels,af,0.0,neutral,neutral,0,['language_availability'],0
apple,Blij zo,"Je kunt in zelf gekozen tijd leren en alle manieren komen aan de orde: luisteren, invullen, praten",nl,0.0,neutral,neutral,0,['learning_effectiveness'],4
apple,Alex Khorus,Annoying adds for little value,no,-0.49375,negative,neutral,0,['general'],4
apple,Alex the Great the First,I tried to log a ticket with some concerns: 1. App indicates sometimes I did not do a lesson on a day while I am sure I did 2. The emails I am getting a really pushy and demotivate me more than motivate me 3 The feedback / support sections do not open so it is hard to ask questions or provide feedback about issues,en,0.18166666666666664,positive,neutral,0,"['lessons_content', 'user_experience']",3
apple,Ange9419,"Oppassen ! Ze smeren je een gratis proefperiode aan van een aantal dagen !  Doe dit absoluut niet ! Ze hebben zonder toestemming een jaarabonnement bij mij afgeschreven van € 104,99 . Zonder daar enige toestemming van te hebben!",nl,0.0,neutral,negative,-1,['pricing'],4
apple,M N=<3,Het is prima maar de meldingen zijn vervelend en de zinnetjes zijn bijna altijd het zelfde dus je leert het minder goed dan op school,nl,0.0,neutral,neutral,0,['learning_effectiveness'],4
apple,NBvZ6,"De nieuwste update is ronduit slecht. De energie is elke keer precies op halverwege de legendarische oefening. De hartjes werkten veel beter! Je krijgt bij het aanvullen van de energie tijdens de legendarische oefening alleen aangeboden om een abonnement af te sluiten, maar de optie om je diamanten te gebruiken laten ze niet zien. Dat is pech, Legendarische oefening weg. Ook zeggen ze je kan een week gratis “Super DuoLingo” gebruiken, en krijg je twee dagen alvorens het eindigt een melding om kosteloos te annuleren. Deze melding heb ik dus niet gekregen en er werd na 6 dagen al een bedrag van maar liefst 104,99€ afgeschreven (gelijk het jaarbedrag en niet eens de maandelijkse optie). Gelukkig heb ik dit via Apple wel snel terug gehad maar vanuit DuoLingo vond ik dit echt slecht! Tevens de AI service desk is echt om te janken, soms heb je gewoon echt een medewerker nodig. Ik hoop oprecht dat bovenstaande punten verbeterd gaan worden want het is een leuke en goede app om een taal te leren.",nl,0.41666666666666663,positive,positive,1,"['battery_issues', 'language_availability', 'pricing', 'learning_effectiveness', 'lessons_content', 'user_experience', 'gamification']",0
apple,Djtje,"Om de beginselen van een taal te leren is het leuk. Het niveau blijft redelijk laag en uitleg is er bar weinig (vast beter als je betaalt). Raar: je hebt energie aan het begin van je les, maar ook als je goed antwoordt, loopt de energie terug. Duolingo zit duidelijk aan het stuur… net als in sommige teksten/dialogen waarbij duidelijk ideologische keuzes zijn gemaakt, waardoor Duolingo zich manifesteert als links liberaal. Dat verwacht ik niet van een taalapp.",nl,0.0,neutral,positive,2,"['battery_issues', 'language_availability', 'app_performance', 'pricing', 'learning_effectiveness', 'lessons_content', 'user_experience', 'gamification']",4
apple,je mag niet weten wie ik ben,It’s the best game now I can talk Turkish,en,0.3,positive,neutral,0,['general'],3
apple,Van p drop,"Duolingo heeft soms een
Bug maar toch is het een fijne app",nl,0.0,neutral,neutral,0,"['app_performance', 'user_experience', 'gamification']",2
apple,Suze..,Het is een fijne app maar het is vervelend dat je hartjes of je batterij op kan waar door je moet stoppen. Als je een taal wil leren zou ik van af het begin beginnen als je er nog niet zo goed in ben want Duolingo laat je vaak met bestellen of zo iets beginnen. Maar voor de rest is het wel een fijne app. 👍👍,nl,0.0,neutral,neutral,0,"['battery_issues', 'language_availability', 'learning_effectiveness', 'user_experience', 'gamification']",2
apple,Roosssss2025,Het is een fijne app maar er zitten kleine foutjes in en soms loopt de app compleet vast.,nl,0.0,neutral,positive,1,['user_experience'],2
apple,Dit spel is echt super leuk!,"Door Frans te leren op Duolingo kon ik beter meedoen met de Frans lessen in de eerste, ik zit nu nog steeds in de eerste en het gaat best goed! Ik leer veel van Duolingo, ik zou het zeker proberen!",nl,1.0,positive,positive,1,"['language_availability', 'learning_effectiveness', 'lessons_content', 'gamification']",0
apple,Süper ..,Güzel ıygulama fakat yeni ögrendigimden bazı yapıştırıcı gibi yapıştın 7 dakikada bitirdin gibi olumsuz motivasyona gerek yok çogu kezde üye olmadıgım için dersden çıkartılmam hoş degil be aynı şeyleri sık tekrar edilmesi,tr,0.0,neutral,neutral,0,['general'],4
apple,OilNurse,"Ik gebruik duolingo elke dag en het maakt leren echt leuk. De korte oefeningen, speelse opzet en het gevoel van vooruitgang houden me gemotiveerd.",nl,0.0,neutral,positive,1,"['learning_effectiveness', 'lessons_content', 'user_experience', 'gamification']",0
apple,25L4R5,"Dikke 5 sterren, makkelijk om een taal op een leuke manier te leren en zeer educatief. Hartstikke bedankt voor deze geweldige app 🙏",nl,0.0,neutral,positive,2,"['language_availability', 'learning_effectiveness', 'user_experience']",2
apple,Tess de bosbes tas,"Echt geweldig, enige nadeel is is dat je energie heel snel op gaat.",nl,0.0,neutral,positive,1,['battery_issues'],4
apple,Henk69 67,Genoeg,nl,0.0,neutral,neutral,0,['general'],4
apple,Kris-67RR,Super leuke app om in mijn geval Spaans te leren!,nl,0.41666666666666663,positive,positive,2,"['language_availability', 'learning_effectiveness', 'user_experience']",2
